geo,name,broadband_subscribers_per_100_people,cell_phones_per_100_people,children_per_woman_total_fertility,co2_pcap_cons,gdp_pcap,gini,lex,median_age_years,average_daily_income,population_density_per_square_km
sgp,Singapore,27.551,173.005,0.94,25.427,133571.9624,40.9,85.23,34.878,144.5701,8272.159
slb,Solomon Islands,0.10703,62.0735,3.62,0.295,2517.92542,38.63,59.5,20.03,4.0829,27.124
sle,Sierra Leone,NA,107.882,3.88,0.154,2937.37347,37.86,61.94,19.04,4.677,115.372
slv,El Salvador,11.1497,183.249,1.79,1.472,11085.61781,40.64,74.58,26.51,14.2381,303.104
smr,San Marino,35.7876,120.27,1.14,NA,70887.5739,35,82.62,46.782,65.9124,558.852
som,Somalia,0.66847,49.6801,6.26,0.051,1387.81374,39.3,57.53,15.371,3.0497,28.377
srb,Serbia,29.3458,129.813,1.52,5.108,24633.06978,32.21,73.14,43.675,21.9737,88.501
ssd,South Sudan,0.00181,48.4888,3.96,0.186,1009.485,47.86,63.35,17.59,6.9673,19.536
stp,Sao Tome and Principe,2.0247,86.7785,3.7,0.641,5632.13891,32.99,71.21,18.869,8.2977,235.734
sur,Suriname,20.026,149.052,2.27,3.391,18742.58738,60.95,70.74,27.865,18.6954,3.995
svk,Slovak Republic,33.9988,136.029,1.56,7.368,38623.67106,27.04,75.22,40.904,25.304,111.623
svn,Slovenia,32.0105,126.459,1.57,8.465,47064.15179,26.49,81.93,43.497,53.8374,105.037
swe,Sweden,40.6093,140.782,1.54,5.956,63215.4363,31.83,83.28,39.728,64.9539,25.746
swz,Eswatini,2.1853,121.492,2.8,1.153,9955.70905,56.75,54.23,21.768,6.6687,70.202
syc,Seychelles,29.8314,163.43,2.17,7.377,27978.17706,32.13,71.15,33.388,20.4178,274.666
syr,Syria,7.16283,78.6568,2.75,1.852,4454.85373,39.47,74.37,21.588,5.3418,122.27
tcd,Chad,NA,65.4378,6.22,0.072,2655.71004,45.59,60.09,15.102,4.5775,14.656
tgo,Togo,1.03724,72.2148,4.25,0.906,2662.25917,45.13,65.76,18.7,5.1976,167.122
tha,Thailand,17.5126,176.223,1.22,3.92,20762.79526,36.33,79.12,39.194,19.5596,140.412
tjk,Tajikistan,0.06128,126.161,3.13,1.47,4213.75618,34.1,69.98,21.742,9.6325,71.155
tkm,Turkmenistan,5.21711,NA,2.73,15.535,17119.57449,44.67,71.23,25.931,21.3022,15.386
tls,Timor-Leste,0.01001,108.158,2.8,0.461,5347.00759,30.92,71.42,20.64,4.5531,92.084
ton,Tonga,8.17387,61.7258,3.17,1.419,6901.73837,37.59,73.39,20.726,12.3607,161.603
tto,Trinidad and Tobago,26.0332,133.632,1.54,17.72,30793.39983,42.33,75.36,36.226,33.475,291.603
tun,Tunisia,13.9309,131.875,1.85,2.261,12702.45358,34.89,75.94,31.744,16.2206,77.973
tur,Turkey,21.823,103.721,1.63,4.946,32748.3189,44.08,79.04,32.072,28.9386,113.121
tuv,Tuvalu,4.52362,98.8591,3.24,1.091,5498.18455,39.14,68.55,24.256,14.5068,333.067
tza,Tanzania,2.20859,93.016,4.67,0.311,3546.98096,42.66,66.99,17.124,4.372,73.054
uga,Uganda,0.08508,70.1401,4.39,0.183,2724.9061,45.22,66.91,16.338,3.697,236.792
ukr,Ukraine,17.5398,120.261,0.9,4.347,13787.12109,28.79,67.92,41.451,12.5594,70.857
ury,Uruguay,33.4866,139.829,1.43,3.206,30804.70328,40.94,78.02,35.496,33.8524,19.578
usa,USA,37.4888,108.786,1.67,16.447,72679.25754,45.13,78,37.72,89.9494,37.336
uzb,Uzbekistan,25.7992,105.472,3.4,2.804,9607.56167,34.96,68.76,26.836,12.0178,82.132
vct,St. Vincent and the Grenadines,28.9967,102.334,1.79,2.048,16835.02351,38.12,69.08,33.633,16.8598,261.656
ven,Venezuela,9.58036,66.4668,2.09,0.673,7266.547,45.6,73.95,28.81,6.0894,30.785
vnm,Vietnam,21.3681,137.852,1.93,2.168,12979.7639,37.19,74.95,31.938,16.5866,318.053
vut,Vanuatu,1.12635,81.6203,3.65,0.572,3222.83596,37.63,66.03,20.121,5.5099,25.681
wsm,Samoa,0.87754,62.3987,3.88,1.429,5843.77179,38.73,70.92,20.091,10.5247,76.064
yem,Yemen,1.27124,46.4534,4.59,0.395,1767.315,39.19,66.32,18.118,2.814,72.396
zaf,South Africa,3.12297,160.729,2.23,5.179,13777.19275,65.66,60.52,27.919,11.4776,51.096
zmb,Zambia,0.42895,98.4373,4.18,0.424,3585.12379,59.62,62.19,17.288,2.8581,27.11
zwe,Zimbabwe,1.6215,88.9958,3.77,0.804,3323.11832,52.43,59.14,17.683,5.2108,41.538
prk,North Korea,NA,24.1311,1.8,1.324,1373.44,41.95,73.53,35.805,2.8897,218.66
